1546253023836,7.03,3853.42,21.63,39,992.79,2.94,35.52,0.34,145.281112,2591.32,5177.41,17.8
1546253054103,8.46,4795.21,21.64,39,992.77,2.92,35.91,0.34,151.16196200000002,2566.22,5118.41,18.09
1546253084434,10.96,6690.92,21.65,39,992.75,2.89,35.33,0.35,142.419725,2541.33,5059.99,17.66
1546253262183,11.31,6990.2,21.74,39,992.68,3.62,41.36,0.32,255.145525,3381.78,7084.16,22.46
1546253292693,1.71,882.67,21.78,40,992.68,3.57,41.15,0.33,250.34,3319.3,6930.26,22.28
1546253323042,3.79,1974.48,21.8,39,992.67,3.62,41.58,0.32,260.03645,3381.78,7084.16,22.63
1546253353248,9.74,5717.77,21.82,39,992.66,3.64,41.58,0.32,260.03645,3413.39,7162.21,22.63
1546253383759,5.51,2932.4,21.82,39,992.63,3.62,41.36,0.32,255.145525,3413.39,7162.21,22.46
1546253414261,0.61,315.99,21.84,39,992.62,3.64,41.36,0.32,255.145525,3413.39,7162.21,22.46
1546253444584,0.44,228.51,21.85,39,992.61,3.59,41.15,0.32,250.34,3350.42,7006.84,22.28
1546253474885,3.43,1785.75,21.84,39,992.59,3.62,41.36,0.32,255.145525,3381.78,7084.16,22.46
1546253505375,6.27,3385.72,21.87,39,992.6,3.54,41.15,0.33,250.34,3288.43,6854.42,22.28
1546253535479,7.58,4205.42,21.9,38,992.6,3.57,40.94,0.33,245.618025,3319.3,6930.26,22.11
1546253565572,6.57,3562.73,21.93,38,992.56,3.57,40.73,0.33,240.97935,3319.3,6930.26,21.93
1546253595895,4.06,2120.71,21.94,38,992.58,3.62,41.15,0.33,250.34,3381.78,7084.16,22.28
1546253626442,9.71,5699.93,21.96,39,992.54,3.57,41.15,0.33,250.34,3319.3,6930.26,22.28
1546253656603,2.16,1119.29,21.97,38,992.54,3.57,40.94,0.33,245.618025,3319.3,6930.26,22.11
1546253686886,6.37,3441.28,21.97,38,992.52,3.59,41.36,0.33,255.145525,3350.42,7006.84,22.46
1546253716937,9.62,5633.67,21.97,38,992.55,3.57,41.15,0.33,250.34,3319.3,6930.26,22.28
